bank_name,bank_code,sort_code
ACCESS BANK PLC,44,44150291
MAINSTREET BANK PLC,14,14150030
KEYSTONE BANK PLC,82,82150017
DIAMOND BANK PLC,63,63150162
ECOBANK NIGERIA PLC,50,50150010
FIDELITY BANK PLC,70,70150003
FIRST BANK OF NIGERIA PLC,11,11151003
FIRST CITY MONUMENT BANK PLC,214,214150018
GUARANTY TRUST BANK PLC,58,58152052
STANBIC IBTC BANK PLC,221,221159522
NIGERIA INTERNATINAL BANK (CITIBANK),23,23150005
RAND MERCHANT BANK,502,502155502
SKYE BANK PLC,76,76151365
STANDARD CHARTERED BANK PLC,68,68150015
STERLING BANK PLC,232,232150016
UNION BANK OF NIGERIA PLC,32,32154568
UNITED BANK FOR AFRICA PLC,33,33152048
UNITY BANK PLC,215,215082334
WEMA BANK PLC,35,35150103
ZENITH INTERNATIONAL BANK PLC,57,57150013
JAIZ BANK,301,301080020
CENTRAL BANK OF NIGERIA,1,1080032
HERITAGE BANK,30,30150014
SunTrust ,100,100152049
Parallex MFB,526,526155261
Finatrust Microfinance Bank,608,608155608
Providus Bank ,101,101152019
Paga,327,3010800207
FSDH MERCHANT BANK,601,601155601
NPF MFB,552,552155552
Page MFBank,560,560155560
FBNQuest Merchant Bank Limited,60002,60002600
IBILE MFB,90118,90185090
HASAL MICROFINANCE BANK,90121,90118509
Stanbic Mobile Money,304,304
FortisMobile,308,308
TagPay,328,328
Sterling Mobile,326,326
Omoluabi Mortgage Bank,990,990
ReadyCash (Parkway),311,311
eTranzact,306,306
Access Money,323,323
Hedonmark,324,324
EcoMobile,307,307
Fidelity Mobile,318,318
ZenithMobile,322,322
ChamsMobile,303,303
SafeTrust Mortgage Bank,403,403
Covenant Microfinance Bank,551,551
Imperial Homes Mortgage Bank,415,415
Paycom,305,305
Cellulant,317,317
ASO Savings and & Loans,401,401
Jubilee Life Mortgage Bank,402,402
Mkudi,313,313
FET,314,314
Trustbond,523,523
Test bank,90175,90175
Globus Bank,103,103
Enterprise Bank,19,19
Titan Trust Bank,25,25
Taj Bank Limited,26,26
Central Bank Of Nigeria,28,28
Lotus Bank,29,29
PremiumTrust Bank,31,31
SIGNATURE BANK,34,34
Optimus Bank,36,36
County Finance Ltd,50001,50001
Fewchore Finance Company Limited,50002,50002
Sagegrey Finance Limited,50003,50003
Newedge Finance Ltd,50004,50004
Aaa Finance,50005,50005
Branch International Financial Services,50006,50006
Tekla Finance Ltd,50007,50007
SIMPLE FINANCE LIMITED,50008,50008
FAST CREDIT,50009,50009
FUNDQUEST FINANCIAL SERVICES LTD,50010,50010
Enco Finance,50012,50012
Dignity Finance,50013,50013
TRINITY FINANCIAL SERVICES LIMITED,50014,50014
Coronation Merchant Bank,60001,60001
Nova Merchant Bank,60003,60003
Greenwich Merchant Bank,60004,60004
NPF MicroFinance Bank,70001,70001
Fortis Microfinance Bank,70002,70002
Omoluabi savings and loans,70007,70007
